127.0.0.1 - - [23/Jun/2022:13:43:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:13 +0530] "GET /servletProgram/ HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:13 +0530] "GET /servletProgram/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:15 +0530] "GET /servletProgram/video%20(1).mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:16 +0530] "GET /servletProgram/video%20(1).mp4 HTTP/1.1" 206 360488
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:16 +0530] "GET /servletProgram/video%20(1).mp4 HTTP/1.1" 206 26935302
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:17 +0530] "GET /servletProgram/video%20(1).mp4 HTTP/1.1" 206 6553616
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:48 +0530] "GET /servletProgram/ HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:43:51 +0530] "GET /servletProgram/blablabla HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:44:13 +0530] "GET /servletProgram/ HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:44:15 +0530] "GET /servletProgram/blablabla HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:44:19 +0530] "GET /servletProgram/blablabla HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:44:24 +0530] "GET /servletProgram/blablabla HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:44:51 +0530] "GET /servletProgram/blablabla HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:44:56 +0530] "GET /servletProgram/blablabla HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:44:59 +0530] "GET /servletProgram/ HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:45:01 +0530] "GET /servletProgram/closeServer.html HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:47:16 +0530] "GET /servletProgram/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:47:19 +0530] "GET /servletProgram/closeServer.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:47:19 +0530] "GET /servletProgram/displayAll.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:47:19 +0530] "GET /servletProgram/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:47:42 +0530] "GET /servletProgram/closeServer.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:48:32 +0530] "GET /servletProgram/ HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:48:34 +0530] "GET /servletProgram/closeServer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:13:49:29 +0530] "GET /servletProgram/closeServer.html HTTP/1.1" 304 -
